key,device,d_lambda,radio,symmetry,parameters_fitted_to,nominal_mean_row_tv,nominal_mean_row_js_nats,nominal_flattened_corr,cal_mean_row_tv,cal_mean_row_js_nats,cal_flattened_corr,cal_map_bin_agreement,nonempty_phi_rows
SDRDEVICE.PLUTO_0.28159,PLUTO,0.28159,r1,sym,r/nosym,0.3578179796,0.1090388603,0.5798221345,0.1583390182,0.02197831335,0.9240904058,0.3538461538,65
SDRDEVICE.PLUTO_0.32182,PLUTO,0.32182,r,nosym,r/nosym,0.4202282654,0.1378949825,0.5411007071,0.2433032088,0.0497168554,0.8415273856,0.1076923077,65
SDRDEVICE.PLUTO_0.32182,PLUTO,0.32182,r,sym,r/nosym,0.3146211247,0.08676214038,0.6680092345,0.1179666743,0.01317669299,0.9594619012,0.5076923077,65
SDRDEVICE.PLUTO_0.32182,PLUTO,0.32182,r0,nosym,r/nosym,0.4752735202,0.1689046153,0.4872255207,0.3008585516,0.07451492408,0.80693348,0.1538461538,65
SDRDEVICE.PLUTO_0.32182,PLUTO,0.32182,r0,sym,r/nosym,0.3307848775,0.09087050005,0.6609976292,0.1309359926,0.02049499074,0.9521894441,0.5076923077,65
SDRDEVICE.PLUTO_0.32182,PLUTO,0.32182,r1,nosym,r/nosym,0.5099874747,0.1913686237,0.430505579,0.3706860764,0.1064511365,0.6760376213,0.06153846154,65
SDRDEVICE.PLUTO_0.32182,PLUTO,0.32182,r1,sym,r/nosym,0.331345843,0.09681933933,0.6441851457,0.1470763581,0.01875227484,0.9292995464,0.3846153846,65
SDRDEVICE.PLUTO_0.40831,PLUTO,0.40831,r,nosym,r/nosym,0.3987037372,0.1280242484,0.6168002439,0.2523066057,0.05453079919,0.8286540512,0.1076923077,65
SDRDEVICE.PLUTO_0.40831,PLUTO,0.40831,r,sym,r/nosym,0.2764094024,0.07603129359,0.7579108735,0.1286499388,0.01700135852,0.9496699712,0.3538461538,65
SDRDEVICE.PLUTO_0.40831,PLUTO,0.40831,r0,nosym,r/nosym,0.4675252663,0.1639835337,0.5453338508,0.3010796986,0.0758708966,0.8073986115,0.1076923077,65
SDRDEVICE.PLUTO_0.40831,PLUTO,0.40831,r0,sym,r/nosym,0.2977612395,0.07903447704,0.7476405467,0.1416385721,0.02094616991,0.9444243524,0.2,65
SDRDEVICE.PLUTO_0.40831,PLUTO,0.40831,r1,nosym,r/nosym,0.4866235044,0.1768889013,0.5234099782,0.3795487852,0.1148825411,0.6602403861,0.1076923077,65
SDRDEVICE.PLUTO_0.40831,PLUTO,0.40831,r1,sym,r/nosym,0.2983504187,0.08790893997,0.7339675034,0.1646018053,0.02496140224,0.9171868849,0.4461538462,65
SDRDEVICE.PLUTO_0.41762,PLUTO,0.41762,r,nosym,r/nosym,0.2286469811,0.04405562811,0.7975132745,0.1908351465,0.03414773482,0.8676402384,0.1846153846,65
SDRDEVICE.PLUTO_0.41762,PLUTO,0.41762,r,sym,r/nosym,0.1023879624,0.009776957506,0.9512108215,0.1066930438,0.01106514938,0.950108012,0.4,65
SDRDEVICE.PLUTO_0.41762,PLUTO,0.41762,r0,nosym,r/nosym,0.2729761623,0.06850540264,0.7138652552,0.2423737423,0.05782128642,0.7915466892,0.07692307692,65
SDRDEVICE.PLUTO_0.41762,PLUTO,0.41762,r0,sym,r/nosym,0.1299896624,0.01586211465,0.9131972342,0.1308602756,0.01710200068,0.9173171881,0.2153846154,65
SDRDEVICE.PLUTO_0.41762,PLUTO,0.41762,r1,nosym,r/nosym,0.2804485564,0.07611337558,0.7628302486,0.2526332181,0.06548415992,0.8159879993,0.1846153846,65
SDRDEVICE.PLUTO_0.41762,PLUTO,0.41762,r1,sym,r/nosym,0.135482844,0.01662779171,0.9328786968,0.1405838038,0.01776285461,0.9270635403,0.3230769231,65
SDRDEVICE.PLUTO_0.41764,PLUTO,0.41764,r,nosym,r/nosym,0.3095977097,0.08372090911,0.7190757643,0.206644895,0.04458691553,0.8796598464,0.03076923077,65
SDRDEVICE.PLUTO_0.41764,PLUTO,0.41764,r,sym,r/nosym,0.1339106262,0.01610900863,0.9287683417,0.1122136802,0.01289847036,0.951976453,0.2307692308,65
SDRDEVICE.PLUTO_0.41764,PLUTO,0.41764,r0,nosym,r/nosym,0.3704910093,0.1230664882,0.6456797351,0.297604161,0.08593271173,0.7714862097,0.06153846154,65
SDRDEVICE.PLUTO_0.41764,PLUTO,0.41764,r0,sym,r/nosym,0.1723493553,0.02775966876,0.886796017,0.1632096044,0.02633314261,0.9025528793,0.2153846154,65
SDRDEVICE.PLUTO_0.41764,PLUTO,0.41764,r1,nosym,r/nosym,0.3429074848,0.1087004203,0.6680820983,0.2416932882,0.06353913072,0.8463927485,0.04615384615,65
SDRDEVICE.PLUTO_0.41764,PLUTO,0.41764,r1,sym,r/nosym,0.1646071013,0.02881752091,0.8959036261,0.1409917447,0.02283790923,0.9270710521,0.2923076923,65
SDRDEVICE.BLADERF2_0.47259,BLADERF2,0.47259,r,nosym,r/nosym,0.6232423347,0.2967570586,0.2860223042,0.2940260366,0.08715768446,0.6632686615,0.1692307692,65
SDRDEVICE.BLADERF2_0.47259,BLADERF2,0.47259,r,sym,r/nosym,0.366568561,0.1128090658,0.4512980277,0.248410407,0.06314600751,0.6020064735,0.2769230769,65
SDRDEVICE.BLADERF2_0.47259,BLADERF2,0.47259,r0,nosym,r/nosym,0.647739798,0.319589402,0.3091643232,0.4159386524,0.1587994569,0.5816036421,0.07692307692,65
SDRDEVICE.BLADERF2_0.47259,BLADERF2,0.47259,r0,sym,r/nosym,0.3600758836,0.1111767043,0.5072629997,0.2803828499,0.07614202068,0.6355976667,0.1230769231,65
SDRDEVICE.BLADERF2_0.47259,BLADERF2,0.47259,r1,nosym,r/nosym,0.7173025059,0.3767177075,0.2054316477,0.389935828,0.140066283,0.6588803296,0.1384615385,65
SDRDEVICE.BLADERF2_0.47259,BLADERF2,0.47259,r1,sym,r/nosym,0.4434983847,0.16243174,0.3564288729,0.3021026719,0.08562177782,0.5857308515,0.1538461538,65
SDRDEVICE.BLADERF2_0.48083,BLADERF2,0.48083,r,nosym,r/nosym,0.5664054952,0.2463518453,0.4252513557,0.2470741508,0.05625240051,0.8677499087,0.1076923077,65
SDRDEVICE.BLADERF2_0.48083,BLADERF2,0.48083,r,sym,r/nosym,0.3381668113,0.1188998778,0.6596763452,0.1473480824,0.02240076851,0.9198750806,0.1846153846,65
SDRDEVICE.BLADERF2_0.48083,BLADERF2,0.48083,r0,nosym,r/nosym,0.6060431107,0.2858856919,0.3939450985,0.3428835618,0.1092358861,0.7560920782,0.1846153846,65
