exact_config,device,platform,rx_lo_mhz,physical_spacing_mm,d_lambda,n_datasets,r0_minus_r1_phase_mean_deg,r0_minus_r1_phase_mad_deg,r0_g_median_or_circular_mean,r0_g_mad,r0_theta_deg_median_or_circular_mean,r0_theta_deg_mad,r0_phase_deg_median_or_circular_mean,r0_phase_deg_mad,r0_sigma_deg_median_or_circular_mean,r0_sigma_deg_mad,r1_g_median_or_circular_mean,r1_g_mad,r1_theta_deg_median_or_circular_mean,r1_theta_deg_mad,r1_phase_deg_median_or_circular_mean,r1_phase_deg_mad,r1_sigma_deg_median_or_circular_mean,r1_sigma_deg_mad
PLUTO|rover|5866|0.99302,PLUTO,rover,5866,51.0,0.99302,8,-23.95536635714113,19.322220110051614,0.91,0.010000000000000009,-5.156620156177366,4.010704565915765,-47.993522517824445,14.46714359278396,44.296390901126436,8.738411571921334,1.06,0.040000000000000036,-14.89690267340137,4.583662361046592,-23.795041311428484,32.35584321636381,56.04347354713019,13.768322285605963
PLUTO|wall|868|0.21715,PLUTO,wall,868,75.0,0.21715,93,-34.46117459161242,9.355760527107659,1.4400000000000006,0.1200000000000001,1.718873385392487,4.583662361046586,-22.789014954627397,8.228596974459938,64.51639204996972,4.32356501534059,1.7200000000000009,0.10000000000000009,13.178029288008963,1.1459155902616476,11.731903750889675,2.383950022806358,56.852293351179846,2.499912189399963
PLUTO|wall|915|0.12208,PLUTO,wall,915,40.0,0.12208,94,-35.470025013737605,13.937615984447532,0.8600000000000001,0.16000000000000014,7.448451336700725,12.605071492878123,-10.848931696557239,5.670551328434935,53.361159712403875,3.850873324617414,1.5500000000000007,0.4500000000000004,20.053522829578846,0.0,24.324709641830232,10.112183785383413,68.27791351163552,4.451091454770878
PLUTO|wall|915|0.13124,PLUTO,wall,915,43.0,0.13124,65,-49.826637220886425,5.728058722096245,1.0800000000000003,0.16000000000000014,2.8647889756541334,10.313240312354818,-10.724478218714852,3.583077620642281,56.03218774915058,3.0635689061644356,2.280000000000001,0.20000000000000018,13.178029288008963,2.2918311805232965,39.1032501974244,4.67585474067491,71.00204050011138,4.396804623173613
PLUTO|wall|915|0.21367,PLUTO,wall,915,70.0,0.21367,159,107.9613217991171,8.832095555068316,1.1200000000000003,0.08000000000000007,9.740282517224017,5.729577951308242,127.86505244271167,6.6008630503081305,54.6334625980837,5.076327505274101,1.6600000000000008,0.15999999999999992,9.740282517224017,3.4377467707849454,19.960928870353325,8.202942629283967,62.27661904534032,5.92333627977356
PLUTO|wall|915|0.22891,PLUTO,wall,915,75.0,0.22891,51,-39.27476118201564,7.5715899252839,0.9600000000000002,0.16000000000000014,4.010704565915785,4.583662361046587,-11.451616540992674,3.4522757162185265,68.14851930936295,3.126218582480592,1.5800000000000007,0.08000000000000007,16.61577605879391,2.291831180523295,27.826951098144214,5.856458057948415,70.39419756361588,2.6586394729439773
PLUTO|wall|2412|0.20114,PLUTO,wall,2412,25.0,0.20114,159,18.148905899333005,6.9812333432455,2.140000000000001,0.06000000000000005,5.156620156177432,2.2918311805232987,-1.6295568211393636,5.816730013508442,36.619140937885206,4.433718517567228,2.220000000000001,0.08000000000000007,0.5729577951308404,1.1459155902616465,-19.788613526215066,4.420681213287896,37.67451526971541,3.123066863622929
PLUTO|wall|2412|0.28159,PLUTO,wall,2412,35.0,0.28159,150,11.439218758673023,6.015081445585097,1.780000000000001,0.040000000000000036,9.740282517224017,1.1459155902616458,-5.809269538853615,4.539768104476154,32.35438213587373,2.114570468513468,1.760000000000001,0.040000000000000036,-0.5729577951308003,1.1459155902616465,-17.24846155147317,5.091609341456885,37.111724488129646,2.708381638168521
PLUTO|wall|2412|0.32182,PLUTO,wall,2412,40.0,0.32182,214,14.426027630042912,6.227104170311547,1.6200000000000008,0.040000000000000036,8.594366926962373,1.1459155902616458,-5.328983896073236,4.231195575838823,33.5612500802997,2.9089492288513497,1.6000000000000008,0.040000000000000036,-0.5729577951308003,1.1459155902616465,-19.763896848204304,4.520733170296614,34.59065355627538,3.1180367777664566
PLUTO|wall|2412|0.40831,PLUTO,wall,2412,51.0,0.40831,131,14.822937782086493,3.8169660666747105,1.3800000000000006,0.040000000000000036,9.740282517224017,1.1459155902616458,-0.7728528444776631,4.08121846662659,34.14340638998175,2.692003859387826,1.3600000000000003,0.02000000000000024,-0.5729577951308003,1.1459155902616465,-15.602220363181326,3.8347255805853444,36.058905985432325,2.6270892737388585
